,location,substrate,treatment,concentration,replicate,slope,int,slope.se,int.se,pval,rsq,n,year
1,BS,Arg-AMC,killed,0,A,3.55601318,650.6773888,0.047082106,0.050973412,0.008428441,0.999824729,3,2013
2,BS,Arg-AMC,killed,50,A,67.54680285,887.9432909,31.17327934,33.764391,0.275262494,0.82441038,3,2013
3,BS,Arg-AMC,killed,100,A,110.9308072,1181.859967,39.33495944,43.10258628,0.216933329,0.88830924,3,2013
4,BS,Arg-AMC,killed,150,A,34.82720022,1483.956275,7.132259027,7.819325724,0.128595263,0.959749171,3,2013
5,BS,Arg-AMC,killed,200,A,51.42797026,1814.524337,0.867361675,0.954316848,0.010735933,0.999715634,3,2013
6,BS,Arg-AMC,killed,250,A,49.18081077,2064.496844,21.45080177,23.60129819,0.26183335,0.84016859,3,2013
7,BS,Arg-AMC,killed,300,A,45.54365733,2408.769769,19.56047494,21.69279959,0.25825516,0.844266349,3,2013
8,BS,Arg-AMC,killed,400,A,74.23394431,2923.014272,5.532771784,6.139373331,0.0473607,0.994475733,3,2013
9,BS,Arg-AMC,killed,400,B,61.37606957,3030.769182,10.85295407,12.08578939,0.111419887,0.969680201,3,2013
10,BS,Arg-AMC,killed,400,C,36.22808248,2999.26266,3.476735455,3.871673296,0.060908577,0.990874196,3,2013
11,BS,Arg-AMC,live,0,A,-134.3992877,907.679442,102.1978518,106.2844921,0.413883662,0.633627099,3,2013
12,BS,Arg-AMC,live,50,A,49320.81915,67301.01134,5552.000787,5844.026015,0.0713633,0.98748676,3,2013
13,BS,Arg-AMC,live,100,A,60381.08851,83453.22821,5735.353863,6059.181115,0.06028904,0.991058348,3,2013
14,BS,Arg-AMC,live,150,A,87500.85814,119815.4151,9417.776014,9949.518711,0.068257051,0.988548299,3,2013
15,BS,Arg-AMC,live,200,A,41519.33278,52755.54489,3435.75248,3630.493291,0.052560956,0.993198899,3,2013
16,BS,Arg-AMC,live,250,A,71741.53038,87778.95541,4165.938029,4454.683187,0.036926221,0.996639357,3,2013
17,BS,Arg-AMC,live,300,A,64811.34043,78389.94598,2874.929004,3074.193089,0.02822095,0.998036194,3,2013
18,BS,Arg-AMC,live,400,A,114525.2224,164946.3147,11299.53423,12086.13982,0.062608918,0.990359234,3,2013
19,BS,Arg-AMC,live,400,B,83326.92996,118607.2976,6205.165568,6660.992532,0.047320274,0.994485143,3,2013
20,BS,Arg-AMC,live,400,C,84616.14576,117283.0325,6696.064555,7246.912488,0.05027388,0.993776688,3,2013
21,BS,Gly-AMC,killed,0,A,4.113614104,654.2025465,2.463210355,2.866503052,0.343477239,0.736076143,3,2013
22,BS,Gly-AMC,killed,50,A,21.80262407,1147.711922,4.594430265,5.351227571,0.132219335,0.957481664,3,2013
23,BS,Gly-AMC,killed,100,A,32.7027027,1670.054054,3.901015332,4.55953621,0.075583466,0.985970189,3,2013
24,BS,Gly-AMC,killed,150,A,31.82825485,2170.389197,7.628700233,8.924637408,0.149761924,0.945672916,3,2013
25,BS,Gly-AMC,killed,200,A,18.53394181,3067.877924,8.596030819,10.13051947,0.276464903,0.822970848,3,2013
26,BS,Gly-AMC,killed,250,A,57.39874501,3034.876783,40.72740119,47.9977026,0.39286319,0.665130565,3,2013
27,BS,Gly-AMC,killed,300,A,77.29611862,3441.325483,16.7539847,19.7638377,0.135885769,0.955127309,3,2013
28,BS,Gly-AMC,killed,400,A,58.94751854,4729.046634,13.94631897,16.62924862,0.147897607,0.946992806,3,2013
29,BS,Gly-AMC,killed,400,B,-18.94736842,4823.736842,NA,NA,NA,1,2,2013
30,BS,Gly-AMC,killed,400,C,120.3009158,4607.032418,32.0501159,38.25432918,0.165755775,0.933726341,3,2013
31,BS,Gly-AMC,live,0,A,-23.46648944,751.8502099,18.938656,21.2687406,0.43228114,0.605571939,3,2013
32,BS,Gly-AMC,live,50,A,3837.18053,6262.235517,88.99568114,100.300351,0.014762468,0.999462375,3,2013
33,BS,Gly-AMC,live,100,A,6248.339768,8994.688546,246.2766708,277.7520964,0.025079219,0.998448888,3,2013
34,BS,Gly-AMC,live,150,A,8225.838813,11066.94865,544.5599729,618.9006546,0.042083553,0.995636531,3,2013
35,BS,Gly-AMC,live,200,A,13369.93828,24983.33504,447.8866184,510.8329653,0.021318489,0.99887904,3,2013
36,BS,Gly-AMC,live,250,A,9222.509653,13933.32432,213.5304335,243.7221232,0.01473714,0.999464217,3,2013
37,BS,Gly-AMC,live,300,A,10983.39768,18203.4955,326.5707121,372.7454958,0.018923119,0.999116722,3,2013
38,BS,Gly-AMC,live,400,A,12942.01763,20425.88345,65.24453875,75.03647256,0.003209361,0.999974586,3,2013
39,BS,Gly-AMC,live,400,B,3774.639709,10091.69938,29.1761014,33.55486565,0.004920659,0.999940258,3,2013
40,BS,Gly-AMC,live,400,C,11507.18147,19406.51094,20.15153063,23.27625369,0.001114856,0.999996933,3,2013
41,BS,GlyGlyArg-AMC,killed,0,A,3.478405316,731.4012735,1.858645883,2.541974623,0.312414513,0.777896758,3,2013
42,BS,GlyGlyArg-AMC,killed,50,A,12.25913621,2118.751384,2.014012567,2.754461666,0.103662139,0.973719214,3,2013
43,BS,GlyGlyArg-AMC,killed,100,A,92.28437702,865.841317,7.683529454,10.52474231,0.052882524,0.993115618,3,2013
44,BS,GlyGlyArg-AMC,killed,150,A,375.174306,2094.786959,22.49206068,30.80916706,0.038120342,0.996418754,3,2013
45,BS,GlyGlyArg-AMC,killed,200,A,84.31578947,4226.478947,23.51942676,32.32198338,0.173179474,0.927807278,3,2013
46,BS,GlyGlyArg-AMC,killed,250,A,-66.0522918,3444.164784,14.54184684,20.13567905,0.137955284,0.953771714,3,2013
47,BS,GlyGlyArg-AMC,killed,300,A,-6.691413815,4052.956585,19.07044966,26.40630574,0.785167963,0.10961989,3,2013
48,BS,GlyGlyArg-AMC,killed,400,A,-45.83279535,6002.115074,48.42250499,67.04925652,0.517487034,0.472545246,3,2013
49,BS,GlyGlyArg-AMC,killed,400,B,-58.31504196,5233.912524,16.40360578,22.71360335,0.174565714,0.926676121,3,2013
50,BS,GlyGlyArg-AMC,killed,400,C,41.8431246,4989.494351,43.62554051,60.40703714,0.513274535,0.479154453,3,2013
51,BS,GlyGlyArg-AMC,live,50,A,50896.61538,14892.43077,1013.649426,1347.93778,0.012677149,0.999603516,3,2013
52,BS,GlyGlyArg-AMC,live,100,A,52266.87708,11807.52879,309.6400464,414.3237175,0.003771426,0.999964905,3,2013
53,BS,GlyGlyArg-AMC,live,150,A,40967.5734,9844.773845,115.6991247,155.3304339,0.001797914,0.999992024,3,2013
54,BS,GlyGlyArg-AMC,live,200,A,38932.34818,7310.139676,246.9329439,332.0188015,0.004037781,0.999959773,3,2013
55,BS,GlyGlyArg-AMC,live,250,A,51867.78947,12692.47368,115.9562435,155.9113677,0.001423232,0.999995002,3,2013
56,BS,GlyGlyArg-AMC,live,300,A,3121.870445,5141.09919,73.75591253,99.17003902,0.015037696,0.999442145,3,2013
57,BS,GlyGlyArg-AMC,live,400,A,13148.27243,7903.07309,413.4480084,559.3303972,0.020011943,0.999012186,3,2013
58,BS,GlyGlyArg-AMC,live,400,B,26340.69767,10617.16279,425.8773431,576.1453402,0.010291995,0.999738663,3,2013
59,BS,GlyGlyArg-AMC,live,400,C,34863.03099,13258.67931,92.33317975,125.1049281,0.001686055,0.999992986,3,2013
60,BS,Leu-AMC,killed,0,A,5.315143247,648.5524329,0.685258846,0.841982712,0.08162641,0.983649919,3,2013
61,BS,Leu-AMC,killed,50,A,15.21495466,986.9885759,5.906790185,7.332998001,0.235748228,0.869023525,3,2013
62,BS,Leu-AMC,killed,100,A,38.31276944,1198.012561,5.074880544,6.300221899,0.083838122,0.982757083,3,2013
63,BS,Leu-AMC,killed,150,A,30.90040928,1369.039563,9.380957307,11.66034503,0.18763999,0.915612598,3,2013
64,BS,Leu-AMC,killed,200,A,7.803547067,1676.00955,0.472592308,0.587422923,0.038507437,0.996345742,3,2013
65,BS,Leu-AMC,killed,250,A,118.9736962,2035.100426,3.231300503,4.030259742,0.017286209,0.99926289,3,2013
66,BS,Leu-AMC,killed,300,A,90.58867251,2229.365542,5.600134542,7.032243612,0.039305413,0.996192915,3,2013
67,BS,Leu-AMC,killed,400,A,68.77216917,2648.163483,2.953701923,3.713724717,0.027325445,0.998158772,3,2013
68,BS,Leu-AMC,killed,400,B,-9.208731241,3103.976126,748.6098449,941.2361021,0.992169266,0.000151294,3,2013
69,BS,Leu-AMC,killed,400,C,64.73396999,2795.204866,16.51710115,20.76714862,0.159042347,0.938876047,3,2013
70,BS,Leu-AMC,live,0,A,-9.900130833,748.8667975,12.49448426,14.91314775,0.573423324,0.385686948,3,2013
