site,substrate,rep,treatment,time,RFU,year,fluorimeter,when
SPP,1,1,live,12:28,127131.9,2015,UT,TN2015
SPP,1,2,live,12:28,129944.19,2015,UT,TN2015
SPP,1,3,live,12:28,126610.79,2015,UT,TN2015
SPP,1,kill,killed,12:29,119520.13,2015,UT,TN2015
SPP,2,1,live,12:29,119329.01,2015,UT,TN2015
SPP,2,2,live,12:29,117466.71,2015,UT,TN2015
SPP,2,3,live,12:29,112325.02,2015,UT,TN2015
SPP,2,kill,killed,12:30,115699.24,2015,UT,TN2015
SPP,3,1,live,12:30,119700.39,2015,UT,TN2015
SPP,3,2,live,12:30,116693.74,2015,UT,TN2015
SPP,3,3,live,12:30,116388.81,2015,UT,TN2015
SPP,3,kill,killed,12:31,106671.57,2015,UT,TN2015
SPP,4,1,live,12:31,141582.85,2015,UT,TN2015
SPP,4,2,live,12:31,144699.79,2015,UT,TN2015
SPP,4,3,live,12:31,144000.23,2015,UT,TN2015
SPP,4,kill,killed,12:32,137970.65,2015,UT,TN2015
SPP,5,1,live,12:32,220606.93,2015,UT,TN2015
SPP,5,2,live,12:32,206406.78,2015,UT,TN2015
SPP,5,3,live,12:32,213141.62,2015,UT,TN2015
SPP,5,kill,killed,12:33,178936.4,2015,UT,TN2015
SPP,1,1,live,12:47,134019.32,2015,UT,TN2015
SPP,1,2,live,12:47,135576.42,2015,UT,TN2015
SPP,1,3,live,12:48,134050.82,2015,UT,TN2015
SPP,1,kill,killed,12:48,119782.95,2015,UT,TN2015
SPP,2,1,live,12:48,123125.28,2015,UT,TN2015
SPP,2,2,live,12:49,122166.31,2015,UT,TN2015
SPP,2,3,live,12:49,117294.46,2015,UT,TN2015
SPP,2,kill,killed,12:49,118976.89,2015,UT,TN2015
SPP,3,1,live,12:50,129299.25,2015,UT,TN2015
SPP,3,2,live,12:50,127842.35,2015,UT,TN2015
SPP,3,3,live,12:50,126318.03,2015,UT,TN2015
SPP,3,kill,killed,12:50,105295.18,2015,UT,TN2015
SPP,4,1,live,12:51,140738.31,2015,UT,TN2015
SPP,4,2,live,12:51,140127.01,2015,UT,TN2015
SPP,4,3,live,12:51,142915.82,2015,UT,TN2015
SPP,4,kill,killed,12:52,138000.15,2015,UT,TN2015
SPP,5,1,live,12:53,252355.51,2015,UT,TN2015
SPP,5,2,live,12:53,246530.42,2015,UT,TN2015
SPP,5,3,live,12:54,248280.12,2015,UT,TN2015
SPP,5,kill,killed,12:55,182555.39,2015,UT,TN2015
SPP,1,1,live,13:08,140837.04,2015,UT,TN2015
SPP,1,2,live,13:08,142383.76,2015,UT,TN2015
SPP,1,3,live,13:08,141368.96,2015,UT,TN2015
SPP,1,kill,killed,13:08,118515.14,2015,UT,TN2015
SPP,2,1,live,13:09,129879.32,2015,UT,TN2015
SPP,2,2,live,13:09,128233.43,2015,UT,TN2015
SPP,2,3,live,13:09,122318.96,2015,UT,TN2015
SPP,2,kill,killed,13:09,119536.28,2015,UT,TN2015
SPP,3,1,live,13:10,143454.25,2015,UT,TN2015
SPP,3,2,live,13:10,140999.95,2015,UT,TN2015
SPP,3,3,live,13:10,139213.84,2015,UT,TN2015
SPP,3,kill,killed,13:11,106683.78,2015,UT,TN2015
SPP,4,1,live,13:11,142101.84,2015,UT,TN2015
SPP,4,2,live,13:11,143043.18,2015,UT,TN2015
SPP,4,3,live,13:12,143495.51,2015,UT,TN2015
SPP,4,kill,killed,13:12,138191.59,2015,UT,TN2015
SPP,5,1,live,13:13,285820.18,2015,UT,TN2015
SPP,5,2,live,13:13,283270.87,2015,UT,TN2015
SPP,5,3,live,13:14,282185.18,2015,UT,TN2015
SPP,5,kill,killed,13:14,180102.14,2015,UT,TN2015
SPP,1,1,live,13:27,148538.51,2015,UT,TN2015
SPP,1,2,live,13:27,149786.45,2015,UT,TN2015
SPP,1,3,live,13:28,149233.15,2015,UT,TN2015
SPP,1,kill,killed,13:28,120131.93,2015,UT,TN2015
SPP,2,1,live,13:28,135236.9,2015,UT,TN2015
SPP,2,2,live,13:29,134400.54,2015,UT,TN2015
SPP,2,3,live,13:29,127337.93,2015,UT,TN2015
SPP,2,kill,killed,13:29,121310.1,2015,UT,TN2015
SPP,3,1,live,13:29,155550.42,2015,UT,TN2015
SPP,3,2,live,13:30,150004.43,2015,UT,TN2015
SPP,3,3,live,13:30,149636.71,2015,UT,TN2015
SPP,3,kill,killed,13:30,106858.35,2015,UT,TN2015
SPP,4,1,live,13:31,142205.29,2015,UT,TN2015
SPP,4,2,live,13:31,142414.54,2015,UT,TN2015
SPP,4,3,live,13:31,144225.98,2015,UT,TN2015
SPP,4,kill,killed,13:32,138043.15,2015,UT,TN2015
SPP,5,1,live,13:32,321251.43,2015,UT,TN2015
SPP,5,2,live,13:32,313715.75,2015,UT,TN2015
SPP,5,3,live,13:33,316750.53,2015,UT,TN2015
SPP,5,kill,killed,13:33,182441.56,2015,UT,TN2015
SPP,1,1,live,13:46,155997.64,2015,UT,TN2015
SPP,1,2,live,13:46,157540.5,2015,UT,TN2015
SPP,1,3,live,13:46,156032.54,2015,UT,TN2015
SPP,1,kill,killed,13:47,121002.71,2015,UT,TN2015
SPP,2,1,live,13:47,139595.28,2015,UT,TN2015
SPP,2,2,live,13:47,138673.31,2015,UT,TN2015
SPP,2,3,live,13:48,133353.56,2015,UT,TN2015
SPP,2,kill,killed,13:48,121721.83,2015,UT,TN2015
SPP,3,1,live,13:48,165919.32,2015,UT,TN2015
SPP,3,2,live,13:48,161641.82,2015,UT,TN2015
SPP,3,3,live,13:49,161039.51,2015,UT,TN2015
SPP,3,kill,killed,13:49,106089.13,2015,UT,TN2015
SPP,4,1,live,13:49,141295.93,2015,UT,TN2015
SPP,4,2,live,13:49,144373.82,2015,UT,TN2015
SPP,4,3,live,13:50,144566.04,2015,UT,TN2015
SPP,4,kill,killed,13:50,137434.43,2015,UT,TN2015
SPP,5,1,live,13:50,350616.87,2015,UT,TN2015
