fluorophore,site,when,sample.type,substrate,treatment,replicate,slope,int,slope.se,int.se,pval,rsq,n,calib.slope,v0,v0.se,fluorimeter
AMC,bb1,PEEC2016,filter,Arg-AMC,killed,k,485.6842105,143862.59,NA,NA,NA,1,2,96.25858909,5.045619462,NA,UT
AMC,bb1,PEEC2016,filter,Arg-AMC,live,3,105108.1105,349755.4,NA,NA,NA,1,2,96.25858909,1091.934876,NA,UT
AMC,bb1,PEEC2016,filter,Gly-AMC,live,2,34648.38947,325736.75,NA,NA,NA,1,2,96.25858909,359.9511462,NA,UT
AMC,bb1,PEEC2016,filter,Arg-AMC,live,2,135305.6026,265598.84,NA,NA,NA,1,2,96.25858909,1405.647058,NA,UT
AMC,bb1,PEEC2016,filter,Leu-AMC,killed,k,1687.776923,199267.67,NA,NA,NA,1,2,96.25858909,17.53377999,NA,UT
AMC,bb1,PEEC2016,filter,Leu-AMC,live,1,196354.574,328279.81,NA,NA,NA,1,2,96.25858909,2039.86549,NA,UT
AMC,bb1,PEEC2016,filter,Leu-AMC,live,2,201709.6154,323538.43,NA,NA,NA,1,2,96.25858909,2095.497319,NA,UT
AMC,bb1,PEEC2016,filter,GGR-AMC,killed,k,11157.21176,234984.09,NA,NA,NA,1,2,96.25858909,115.9087399,NA,UT
AMC,bb1,PEEC2016,filter,Gly-AMC,live,3,32691.48,324814.49,NA,NA,NA,1,2,96.25858909,339.6214334,NA,UT
AMC,bb1,PEEC2016,filter,Gly-AMC,killed,k,5535.465789,286579.03,NA,NA,NA,1,2,96.25858909,57.50620118,NA,UT
AMC,bb1,PEEC2016,filter,Gly-AMC,live,1,35995.23947,337042.62,NA,NA,NA,1,2,96.25858909,373.9431443,NA,UT
AMC,bb1,PEEC2016,filter,Arg-AMC,live,1,142811.5541,264557.96,NA,NA,NA,1,2,96.25858909,1483.624011,NA,UT
AMC,bb1,PEEC2016,filter,Pyr-AMC,killed,k,2772.907143,263537.21,NA,NA,NA,1,2,96.25858909,28.80685421,NA,UT
AMC,bb1,PEEC2016,filter,GGR-AMC,live,1,-102111.3529,411519.28,NA,NA,NA,1,2,96.25858909,-1060.80251,NA,UT
AMC,bb1,PEEC2016,filter,GGR-AMC,live,2,347000.1143,424658.15,NA,NA,NA,1,2,96.25858909,3604.874303,NA,UT
AMC,bb1,PEEC2016,filter,GGR-AMC,live,3,374223.6635,450880.93,NA,NA,NA,1,2,96.25858909,3887.691136,NA,UT
AMC,bb1,PEEC2016,filter,Leu-AMC,live,3,196862.3308,334933.78,NA,NA,NA,1,2,96.25858909,2045.140414,NA,UT
AMC,bb1,PEEC2016,filter,Pyr-AMC,live,1,7575.490909,263714.4,NA,NA,NA,1,2,96.25858909,78.69937614,NA,UT
AMC,bb1,PEEC2016,filter,Pyr-AMC,live,2,6393.953846,260905.98,NA,NA,NA,1,2,96.25858909,66.42476174,NA,UT
