fluorimeter number,site,substrate ,sample.type,rep,RFU,time,date,exp.time,exp.date,year,when
2,FP2016,1,whole,1,291394.71,14:28,6/1/2016,14:28,6/1/2016,2016,PEEC2016
2,FP2016,1,whole,2,305717.53,14:30,6/1/2016,14:28,6/1/2016,2016,PEEC2017
2,FP2016,1,whole,3,284892.4,14:31,6/1/2016,14:28,6/1/2016,2016,PEEC2018
2,FP2016,1,whole,k,285566.53,14:32,6/1/2016,14:28,6/1/2016,2016,PEEC2019
2,FP2016,2,whole,1,471270.59,14:33,6/1/2016,14:28,6/1/2016,2016,PEEC2020
2,FP2016,2,whole,2,463066.28,14:34,6/1/2016,14:28,6/1/2016,2016,PEEC2021
2,FP2016,2,whole,3,489341.28,14:35,6/1/2016,14:28,6/1/2016,2016,PEEC2022
2,FP2016,2,whole,k,518586.18,14:35,6/1/2016,14:28,6/1/2016,2016,PEEC2023
2,FP2016,3,whole,1,387663.5,14:36,6/1/2016,14:28,6/1/2016,2016,PEEC2024
2,FP2016,3,whole,2,332877.31,14:37,6/1/2016,14:28,6/1/2016,2016,PEEC2025
2,FP2016,3,whole,3,364129.58,14:37,6/1/2016,14:28,6/1/2016,2016,PEEC2026
2,FP2016,3,whole,k,305181.31,14:38,6/1/2016,14:28,6/1/2016,2016,PEEC2027
2,FP2016,4,whole,1,432233.68,14:38,6/1/2016,14:28,6/1/2016,2016,PEEC2028
2,FP2016,4,whole,2,317445.5,14:39,6/1/2016,14:28,6/1/2016,2016,PEEC2029
2,FP2016,4,whole,3,436893.34,14:40,6/1/2016,14:28,6/1/2016,2016,PEEC2030
2,FP2016,4,whole,k,417708.03,14:40,6/1/2016,14:28,6/1/2016,2016,PEEC2031
2,FP2016,5,whole,1,447207.46,14:41,6/1/2016,14:28,6/1/2016,2016,PEEC2032
2,FP2016,5,whole,2,508250.28,14:42,6/1/2016,14:28,6/1/2016,2016,PEEC2033
2,FP2016,5,whole,3,535256.31,14:42,6/1/2016,14:28,6/1/2016,2016,PEEC2034
2,FP2016,5,whole,k,452316.68,14:43,6/1/2016,14:28,6/1/2016,2016,PEEC2035
2,FP2016,6,whole,1,8193.99,14:43,6/1/2016,14:28,6/1/2016,2016,PEEC2036
2,FP2016,6,whole,2,9027.91,14:44,6/1/2016,14:28,6/1/2016,2016,PEEC2037
2,FP2016,6,whole,3,7799,14:44,6/1/2016,14:28,6/1/2016,2016,PEEC2038
2,FP2016,6,whole,k,5519.08,14:45,6/1/2016,14:28,6/1/2016,2016,PEEC2039
2,FP2016,7,whole,1,13619.44,14:45,6/1/2016,14:28,6/1/2016,2016,PEEC2040
2,FP2016,7,whole,2,8124.35,14:15,6/1/2016,14:28,6/1/2016,2016,PEEC2041
