fluorimeter number,site,substrate ,sample.type,rep,RFU,time,date,exp.time,exp.date,year,when,treatment,fluorimeter
2,FP,1,whole,1,291394.71,14:28,6/1/2016,14:28,6/1/2016,2016,PEEC2016,live,UT
2,FP,1,whole,2,305717.53,14:30,6/1/2016,14:28,6/1/2016,2016,PEEC2016,live,UT
2,FP,1,whole,3,284892.4,14:31,6/1/2016,14:28,6/1/2016,2016,PEEC2016,live,UT
2,FP,1,whole,k,285566.53,14:32,6/1/2016,14:28,6/1/2016,2016,PEEC2016,killed,UT
2,FP,2,whole,1,471270.59,14:33,6/1/2016,14:28,6/1/2016,2016,PEEC2016,live,UT
2,FP,2,whole,2,463066.28,14:34,6/1/2016,14:28,6/1/2016,2016,PEEC2016,live,UT
2,FP,2,whole,3,489341.28,14:35,6/1/2016,14:28,6/1/2016,2016,PEEC2016,live,UT
2,FP,2,whole,k,518586.18,14:35,6/1/2016,14:28,6/1/2016,2016,PEEC2016,killed,UT
2,FP,3,whole,1,387663.5,14:36,6/1/2016,14:28,6/1/2016,2016,PEEC2016,live,UT
2,FP,3,whole,2,332877.31,14:37,6/1/2016,14:28,6/1/2016,2016,PEEC2016,live,UT
2,FP,3,whole,3,364129.58,14:37,6/1/2016,14:28,6/1/2016,2016,PEEC2016,live,UT
2,FP,3,whole,k,305181.31,14:38,6/1/2016,14:28,6/1/2016,2016,PEEC2016,killed,UT
2,FP,4,whole,1,432233.68,14:38,6/1/2016,14:28,6/1/2016,2016,PEEC2016,live,UT
2,FP,4,whole,2,317445.5,14:39,6/1/2016,14:28,6/1/2016,2016,PEEC2016,live,UT
2,FP,4,whole,3,436893.34,14:40,6/1/2016,14:28,6/1/2016,2016,PEEC2016,live,UT
2,FP,4,whole,k,417708.03,14:40,6/1/2016,14:28,6/1/2016,2016,PEEC2016,killed,UT
2,FP,5,whole,1,447207.46,14:41,6/1/2016,14:28,6/1/2016,2016,PEEC2016,live,UT
2,FP,5,whole,2,508250.28,14:42,6/1/2016,14:28,6/1/2016,2016,PEEC2016,live,UT
2,FP,5,whole,3,535256.31,14:42,6/1/2016,14:28,6/1/2016,2016,PEEC2016,live,UT
2,FP,5,whole,k,452316.68,14:43,6/1/2016,14:28,6/1/2016,2016,PEEC2016,killed,UT
2,FP,1,whole,1,324153.71,15:06,6/1/2016,14:28,6/1/2016,2016,PEEC2016,live,UT
2,FP,1,whole,2,333687.65,15:07,6/1/2016,14:28,6/1/2016,2016,PEEC2016,live,UT
2,FP,1,whole,3,310283.06,15:08,6/1/2016,14:28,6/1/2016,2016,PEEC2016,live,UT
2,FP,1,whole,k,286636.5,15:08,6/1/2016,14:28,6/1/2016,2016,PEEC2016,killed,UT
2,FP,2,whole,1,491769.75,15:09,6/1/2016,14:28,6/1/2016,2016,PEEC2016,live,UT
2,FP,2,whole,2,480904.65,15:09,6/1/2016,14:28,6/1/2016,2016,PEEC2016,live,UT
2,FP,2,whole,3,503959.25,15:10,6/1/2016,14:28,6/1/2016,2016,PEEC2016,live,UT
2,FP,2,whole,k,429685.5,15:10,6/1/2016,14:28,6/1/2016,2016,PEEC2016,killed,UT
2,FP,3,whole,1,474161.93,15:10,6/1/2016,14:28,6/1/2016,2016,PEEC2016,live,UT
2,FP,3,whole,2,330050.9,15:11,6/1/2016,14:28,6/1/2016,2016,PEEC2016,live,UT
2,FP,3,whole,3,435765.31,15:11,6/1/2016,14:28,6/1/2016,2016,PEEC2016,live,UT
2,FP,3,whole,k,412710.15,15:12,6/1/2016,14:28,6/1/2016,2016,PEEC2016,killed,UT
2,FP,4,whole,1,579361.37,15:12,6/1/2016,14:28,6/1/2016,2016,PEEC2016,live,UT
2,FP,4,whole,2,644189.12,15:13,6/1/2016,14:28,6/1/2016,2016,PEEC2016,live,UT
2,FP,4,whole,3,676092,15:13,6/1/2016,14:28,6/1/2016,2016,PEEC2016,live,UT
2,FP,4,whole,k,454687.12,15:14,6/1/2016,14:28,6/1/2016,2016,PEEC2016,killed,UT
2,FP,5,whole,1,584130.25,15:14,6/1/2016,14:28,6/1/2016,2016,PEEC2016,live,UT
2,FP,5,whole,2,652532.93,15:15,6/1/2016,14:28,6/1/2016,2016,PEEC2016,live,UT
2,FP,5,whole,3,689457,15:15,6/1/2016,14:28,6/1/2016,2016,PEEC2016,live,UT
2,FP,5,whole,k,450855.75,15:16,6/1/2016,14:28,6/1/2016,2016,PEEC2016,killed,UT
2,FP,1,whole,1,354461.93,15:38,6/1/2016,14:28,6/1/2016,2016,PEEC2016,live,UT
2,FP,1,whole,2,355190.12,15:38,6/1/2016,14:28,6/1/2016,2016,PEEC2016,live,UT
2,FP,1,whole,3,342391.4,15:38,6/1/2016,14:28,6/1/2016,2016,PEEC2016,live,UT
2,FP,1,whole,k,236170.89,15:38,6/1/2016,14:28,6/1/2016,2016,PEEC2016,killed,UT
2,FP,2,whole,1,525940.12,15:39,6/1/2016,14:28,6/1/2016,2016,PEEC2016,live,UT
2,FP,2,whole,2,525940.12,15:39,6/1/2016,14:28,6/1/2016,2016,PEEC2016,live,UT
2,FP,2,whole,3,525940.12,15:39,6/1/2016,14:28,6/1/2016,2016,PEEC2016,live,UT
2,FP,2,whole,k,436599.93,15:40,6/1/2016,14:28,6/1/2016,2016,PEEC2016,killed,UT
2,FP,3,whole,1,570813.43,15:40,6/1/2016,14:28,6/1/2016,2016,PEEC2016,live,UT
2,FP,3,whole,2,569480.81,15:40,6/1/2016,14:28,6/1/2016,2016,PEEC2016,live,UT
2,FP,3,whole,3,555259.81,15:41,6/1/2016,14:28,6/1/2016,2016,PEEC2016,live,UT
2,FP,3,whole,k,302877.06,15:41,6/1/2016,14:28,6/1/2016,2016,PEEC2016,killed,UT
