"","site","fluorimeter","when",".id","substrate","treatment","volume","rep","slope","int","slope.se","int.se","pval","rsq","n","calib.slope","v0"
"9","BS","UT","PEEC2013","thirteen","Arg-AMC","killed",40,"1",74.2339443122985,2553.08178256611,5.5327717835175,32.6968400520613,0.0473606997270988,0.99447573339015,3,16.285,0.00455842458165787
"10","BS","UT","PEEC2013","thirteen","Arg-AMC","killed",40,"2",61.3760695749748,2724.91176883154,10.8529540712721,64.1962401190217,0.111419886888825,0.969680201428809,3,16.285,0.00376887132790758
"11","BS","UT","PEEC2013","thirteen","Arg-AMC","killed",40,"3",36.2280824800103,2818.72604853416,3.47673545466618,20.5652159414239,0.0609085765731676,0.9908741964367,3,16.285,0.00222462895179677
"19","BS","UT","PEEC2013","thirteen","Gly-AMC","live",40,"1",12942.0176297748,-44068.5044074438,65.2445387454272,388.815241594342,0.00320936137808821,0.999974585982838,3,16.285,0.794720149203239
"20","BS","UT","PEEC2013","thirteen","Gly-AMC","live",40,"2",-1934.04925143417,28422.8694557157,4246.00610723685,25303.4494862155,0.727897867179813,0.171828143462985,3,16.285,-0.118762619062583
"29","BS","UT","PEEC2013","thirteen","Gly-AMC","killed",40,"1",58.9475185396448,4435.29150028524,13.9463189668185,83.8713890043962,0.147897606865998,0.946992806351445,3,16.285,0.00361974323240067
"39","BS","UT","PEEC2013","thirteen","Arg-AMC","live",40,"1",115723.469387755,-418128.520408163,NA,NA,NA,1,2,16.285,7.10613874042095
"40","BS","UT","PEEC2013","thirteen","Arg-AMC","live",40,"2",83326.9299573414,-296638.569973855,6205.16556840338,36366.1095282794,0.0473202743254961,0.994485142631455,3,16.285,5.11679029520058
"41","BS","UT","PEEC2013","thirteen","Arg-AMC","live",40,"3",84616.1457631685,-304387.427253132,6696.06455495207,39285.53380622,0.0502738803944354,0.993776687782738,3,16.285,5.19595614142883
"49","BS","UT","PEEC2013","thirteen","Leu-AMC","killed",40,"1",68.7721691678034,2305.44884038199,2.95370192286652,18.0179852361592,0.0273254449478137,0.998158772241442,3,16.285,0.00422303771371221
"50","BS","UT","PEEC2013","thirteen","Leu-AMC","killed",40,"2",-9.20873124147504,3149.86630286495,748.609844946652,4566.62232213393,0.992169265798508,0.000151294387213049,3,16.285,-0.000565473211020881
"59","BS","UT","PEEC2013","thirteen","Pyr-AMC","live",40,"1",192.031423583557,4268.20814156484,4.11502945394384,25.2552735134151,0.0136399980077201,0.999541011387068,3,16.285,0.01179192039199
"60","BS","UT","PEEC2013","thirteen","Pyr-AMC","live",40,"2",113.401047452784,4516.29027138551,32.7717976953452,201.131176237152,0.179097540053101,0.922921842788264,3,16.285,0.00696352762989153
"61","BS","UT","PEEC2013","thirteen","Gly-AMC","live",40,"3",11507.1814671815,-37937.6100386101,20.1515306311657,120.29655523129,0.00111485595022419,0.999996933260957,3,16.285,0.706612309928246
"69","BS","UT","PEEC2013","thirteen","Pyr-AMC","killed",40,"1",274.688259109314,3528.85991902833,1496.66019417426,9242.45175862002,0.884444563243565,0.0325870955357914,3,16.285,0.0168675627331479
"70","BS","UT","PEEC2013","thirteen","Gly-AMC","killed",40,"2",-18.9473684210518,4918.15789473684,NA,NA,NA,1,2,16.285,-0.00116348593313183
"71","BS","UT","PEEC2013","thirteen","Gly-AMC","killed",40,"3",120.300915830788,4007.53285361245,32.0501159028127,192.900452513453,0.165755775100519,0.933726340500477,3,16.285,0.00738722234146689
"78","BS","UT","PEEC2013","thirteen","Leu-AMC","killed",40,"3",64.7339699863571,2472.6139154161,16.5171011526694,100.756573440601,0.159042347256727,0.938876047148996,3,16.285,0.00397506723895346
"79","BS","UT","PEEC2013","thirteen","Leu-AMC","live",40,"1",98261.6745702431,-410415.640189686,8468.35779825422,51290.3647654282,0.0547297414342528,0.992627473075476,3,16.285,6.03387624011318
"80","BS","UT","PEEC2013","thirteen","Leu-AMC","live",40,"2",82019.772558347,-342592.629032258,3841.80816072467,23289.518867915,0.0297975067158581,0.997810815144662,3,16.285,5.03652272387762
"82","BS","UT","PEEC2013","thirteen","Leu-AMC","live",40,"3",NA,146344,NA,NA,NA,0,1,16.285,NA
"88","BS","UT","PEEC2013","thirteen","Pyr-AMC","live",40,"3",31.2145748987843,4908.9109311741,51.0358938359778,313.47362686327,0.650546765616944,0.272239837819264,3,16.285,0.00191676849240309
"89","BS","UT","PEEC2013","thirteen","GGR-AMC","killed",40,"1",-45.8327953518407,6230.51517107812,48.4225049850041,302.780152558582,0.517487034469916,0.472545245502237,3,16.285,-0.00281441789080999
"90","BS","UT","PEEC2013","thirteen","GGR-AMC","killed",40,"2",-58.3150419625575,5524.51581665591,16.4036057760066,102.569791895489,0.17456571395943,0.926676120694842,3,16.285,-0.00358090524793107
"92","BS","UT","PEEC2013","thirteen","GGR-AMC","live",40,"1",NA,5910,NA,NA,NA,0,1,16.285,NA
"93","BS","UT","PEEC2013","thirteen","GGR-AMC","live",40,"2",NA,5111,NA,NA,NA,0,1,16.285,NA
"94","BS","UT","PEEC2013","thirteen","Pyr-AMC","killed",40,"3",103.502618631962,3992.55054753214,21.9935542157726,136.075623276385,0.133294454228323,0.956797565290713,3,16.285,0.0063557027099762
"96","BS","UT","PEEC2013","thirteen","Pyr-AMC","killed",40,"2",89.4736842105255,4573.73684210527,18.5359823266149,114.567516494173,0.130046891394188,0.958848055208411,3,16.285,0.00549423912867826
"99","BS","UT","PEEC2013","thirteen","GGR-AMC","killed",40,"3",41.8431245965126,4780.9761136217,43.6255405147181,272.785305439849,0.513274534651623,0.479154453229285,3,16.285,0.00256942736238947
"100","BS","UT","PEEC2016","sixteen","Arg-AMC","killed",NA,"4",10371.1991971664,11857.83257379,5261.85296549187,44200.6741658109,0.187505376548863,0.660147513137006,4,1212.14636666667,0.00855606177799027
"101","BS","UT","PEEC2016","sixteen","Gly-AMC","live",NA,"3",861790.805525384,-6633254.0789823,84282.6244934452,709395.793277782,0.00942964848491383,0.981229621300721,4,1212.14636666667,0.710962660305834
"102","BS","UT","PEEC2016","sixteen","Pyr-AMC","live",NA,"3",8624.5225159526,87255.0337192343,9149.79114606234,77433.1765896478,0.445388103261275,0.307594356004127,4,1212.14636666667,0.00711508341989222
"103","BS","UT","PEEC2016","sixteen","Arg-AMC","live",NA,"3",733982.593979618,-5701736.40700404,90724.053235161,761344.031865057,0.0149367881967271,0.97034953124818,4,1212.14636666667,0.605523073915593
"104","BS","UT","PEEC2016","sixteen","Leu-AMC","live",NA,"3",3378667.45854545,-26838289.2454,726494.289923041,6130057.91077217,0.0432573645014334,0.915356470580743,4,1212.14636666667,2.78734280896835
"105","BS","UT","PEEC2016","sixteen","Arg-AMC","live",NA,"1",768885.336340024,-6097914.96324912,343405.952432071,2878961.95008401,0.154529746312953,0.71481994986964,4,1212.14636666667,0.634317238812022
"106","BS","UT","PEEC2016","sixteen","Arg-AMC","live",NA,"2",707210.518299883,-5477522.27375443,81144.4369574168,680278.675447841,0.0129105772364461,0.974345528531686,4,1212.14636666667,0.583436569829988
"107","BS","UT","PEEC2016","sixteen","GGR-AMC","killed",NA,"4",17283.3534893896,11767.3472588062,5493.03391971826,46647.7981014772,0.0878971703636472,0.831931571830642,4,1212.14636666667,0.0142584707298326
"108","BS","UT","PEEC2016","sixteen","Gly-AMC","live",NA,"1",734235.019636367,-5620031.32494548,77564.3003643308,651892.709248562,0.0109763257695612,0.978167828188277,4,1212.14636666667,0.605731320760769
"109","BS","UT","PEEC2016","sixteen","GGR-AMC","live",NA,"3",559947.98419183,-4277383.71672736,25156.348000941,213525.592375515,0.00201227529688639,0.995979498658098,4,1212.14636666667,0.461947500392758
"110","BS","UT","PEEC2016","sixteen","Leu-AMC","killed",NA,"4",9292.21558796709,18438.1059115778,21358.1048374306,180394.347435112,0.705960588118293,0.0864591757397405,4,1212.14636666667,0.00766591877309352
"111","BS","UT","PEEC2016","sixteen","Leu-AMC","live",NA,"1",3866553.28485423,-30630653.36621,549573.968512691,4630260.34262571,0.0196101635323116,0.961164231449141,4,1212.14636666667,3.18984026284469
"112","BS","UT","PEEC2016","sixteen","Gly-AMC","killed",NA,"4",19019.7589090909,-6225.95581818197,5246.39342795786,44180.9461615736,0.0683755386748462,0.867924136939383,4,1212.14636666667,0.0156909754730315
"113","BS","UT","PEEC2016","sixteen","Gly-AMC","live",NA,"2",779555.052713915,-6001287.47634986,57541.3742383794,483837.985320796,0.00540424693040704,0.989220712024071,4,1212.14636666667,0.643119572150059
"114","BS","UT","PEEC2016","sixteen","Pyr-AMC","live",NA,"1",-857.308363636289,164669.245672727,30769.7285496057,260143.24985712,0.980302363032316,0.00038799690211071,4,1212.14636666667,-0.000707264722488785
"115","BS","UT","PEEC2016","sixteen","Pyr-AMC","live",NA,"2",8157.60763636362,80287.0604727274,6677.23174243963,56452.7815943187,0.34627630426809,0.42735467036139,4,1212.14636666667,0.00672988663802754
"116","BS","UT","PEEC2016","sixteen","Pyr-AMC","killed",NA,"4",43865.2603636364,-239327.337745455,103607.361414265,877676.257709708,0.713201729445818,0.0822532479928694,4,1212.14636666667,0.0361880888066871
"117","BS","UT","PEEC2016","sixteen","GGR-AMC","live",NA,"2",1377741.51194166,-10785327.8587055,94013.6858996194,797188.413766978,0.00462408911150809,0.990773203977095,4,1212.14636666667,1.13661315978727
"118","BS","UT","PEEC2016","sixteen","Leu-AMC","live",NA,"2",3089304.52690909,-24463448.2986,520381.524057927,4390907.02076805,0.0272208889121451,0.946299198968877,4,1212.14636666667,2.54862334439404
"119","BS","UT","PEEC2016","sixteen","GGR-AMC","live",NA,"1",627119.697440384,-4768615.96456792,60030.7725945675,508791.7861321,0.009039142978258,0.982003420149265,4,1212.14636666667,0.517363013812373
"120","BS","UT2","PEEC2015","fifteen","Arg-AMC","killed",NA,"4",-2837.80100937277,165712.255948089,494.402476730049,240.612967888465,0.109809915849662,0.970541442138383,3,45.75995,-0.0620149499589219
"121","BS","UT2","PEEC2015","fifteen","Pyr-AMC","live",NA,"3",1081.36363636352,197847.386363636,753.442101292531,407.228053429562,0.387410290795333,0.673190726792319,3,45.75995,0.0236312241679354
"122","BS","UT2","PEEC2015","fifteen","GGR-AMC","live",NA,"1",87748.6363636363,201445.96969697,4784.3967079982,2652.6768481129,0.0346766486709658,0.997035957444522,3,45.75995,1.91758593188228
"123","BS","UT2","PEEC2015","fifteen","Gly-AMC","killed",NA,"4",-17502.6315789474,158691.289473684,9087.79710560749,4544.73993759992,0.304882779075116,0.787653252592947,3,45.75995,-0.382487996139581
"124","BS","UT2","PEEC2015","fifteen","Arg-AMC","live",NA,"1",126103.636363636,184433.333333333,2587.05406985068,1224.61989567742,0.0130586144961167,0.999579299484176,3,45.75995,2.75576429527646
"125","BS","UT2","PEEC2015","fifteen","Arg-AMC","live",NA,"2",129883.636363636,180787.333333333,947.904169233205,448.704307484984,0.0046460342494759,0.999946740527859,3,45.75995,2.8383692806403
"126","BS","UT2","PEEC2015","fifteen","Arg-AMC","live",NA,"3",135302.727272727,182224.287878788,2516.19744590463,1223.85028035444,0.0118377245811957,0.999654278680269,3,45.75995,2.95679359948442
"127","BS","UT2","PEEC2015","fifteen","Gly-AMC","live",NA,"1",42823.9726027396,135595.232876712,11069.2282637687,5387.10866174426,0.161030234256235,0.937371430184406,3,45.75995,0.9358395846748
"128","BS","UT2","PEEC2015","fifteen","Pyr-AMC","killed",NA,"4",-1622.05479452077,196452.280821918,2647.19052877354,1445.66838949052,0.650025464858861,0.272969110500507,3,45.75995,-0.0354470403599822
"129","BS","UT2","PEEC2015","fifteen","Gly-AMC","live",NA,"3",49703.0136986301,137084,4104.24861223654,2052.50429395712,0.0524501647088304,0.993227475269119,3,45.75995,1.08616844421006
"130","BS","UT2","PEEC2015","fifteen","Leu-AMC","live",NA,"1",253974.545454545,194620.606060606,3853.02575101923,1976.87160606805,0.00965736236863092,0.999769896356503,3,45.75995,5.55014910319057
"131","BS","UT2","PEEC2015","fifteen","GGR-AMC","killed",NA,"4",8971.36363636356,195850.840909091,4806.44099100368,2732.66668064368,0.313114926983207,0.776981461332374,3,45.75995,0.196052741236902
"132","BS","UT2","PEEC2015","fifteen","Pyr-AMC","live",NA,"1",-6388.70223503973,207853.930425379,9709.5371604542,5121.6381129666,0.629508854586805,0.302134328757992,3,45.75995,-0.139613400692958
"133","BS","UT2","PEEC2015","fifteen","Pyr-AMC","live",NA,"2",-2235.00000000001,211995.75,2180.02213007192,1178.28054330863,0.492072929851762,0.512450525628239,3,45.75995,-0.0488418365841747
"134","BS","UT2","PEEC2015","fifteen","Leu-AMC","killed",NA,"4",-83.1818181818385,144979.712121212,594.408345324786,313.071781771825,0.911485906425054,0.0192072100593948,3,45.75995,-0.00181778647445722
