"",".id","fluorimeter","substrate","when","treatment","site","volume","rep","slope","int","slope.se","int.se","pval","rsq","n"
"1","fifteen","MXS","Arg-AP","PEEC2015","killed","DR",NA,"4",173.385826771653,4973.63779527559,30.6748732024693,94.9754470281634,0.00482653355673279,0.888732252208248,6
"2","fifteen","MXS","Arg-AP","PEEC2015","killed","LL",NA,"4",70.389547047272,5392.04605254714,19.0781591078421,20.4092589374316,0.010214359400467,0.694075354410447,8
"3","fifteen","MXS","Arg-AP","PEEC2015","killed","PP",NA,"4",20.6901725431368,5210.34783695924,43.9418647539968,164.399557060017,0.65757157853016,0.0424579582395605,7
"4","fifteen","MXS","Arg-AP","PEEC2015","killed","VP",NA,"4",161.84269367355,2861.10669034153,22.0933796348937,20.3695650389703,0.000743229891729467,0.914765055187313,7
"5","fifteen","MXS","Arg-AP","PEEC2015","live","DR",NA,"1",3953.69100601555,-3177.02044309679,140.032019014557,432.138439263337,9.36324715550386e-06,0.995007299554011,6
"6","fifteen","MXS","Arg-AP","PEEC2015","live","DR",NA,"2",4213.74950845458,-4433.31101717132,166.996553388322,516.643283262244,1.46478059517554e-05,0.993756650810158,6
"7","fifteen","MXS","Arg-AP","PEEC2015","live","DR",NA,"3",4193.60380056877,-4218.85369782848,182.754299137781,565.843292728989,2.13694512340168e-05,0.992460653572653,6
"8","fifteen","MXS","Arg-AP","PEEC2015","live","LL",NA,"1",2454.61154394116,6101.12357690185,53.5108440073445,56.4978464863918,7.19137125580113e-09,0.997156634492087,8
"9","fifteen","MXS","Arg-AP","PEEC2015","live","LL",NA,"2",2538.60513452138,5959.4017038092,38.4976860996507,40.7831510433517,8.18028835938588e-10,0.998622056690625,8
"10","fifteen","MXS","Arg-AP","PEEC2015","live","LL",NA,"3",2537.06928453948,6034.1548879523,39.1893762540444,41.7113285937444,9.13458855041098e-10,0.998570441262846,8
"11","fifteen","MXS","Arg-AP","PEEC2015","live","PP",NA,"1",3061.02025506377,-3274.04851212803,54.1388457729052,201.656025802896,3.2738843828695e-08,0.998438374661307,7
"12","fifteen","MXS","Arg-AP","PEEC2015","live","PP",NA,"2",3703.40251914466,-5972.27930284136,1057.0312222155,3942.05122173109,0.0172182282682166,0.710566626756428,7
"13","fifteen","MXS","Arg-AP","PEEC2015","live","PP",NA,"3",3300.33518851739,-4115.52351759635,76.1855463895818,284.123420303352,1.23708678188143e-07,0.997342682282493,7
"14","fifteen","MXS","Arg-AP","PEEC2015","live","VP",NA,"1",7697.07584050039,3293.07114933542,173.6607027015,158.620369629875,1.10361368347129e-07,0.99746126354267,7
