site,substrate,treatment,volume,rep,time,RFU,std,temp,fluorimeter,year,when,fluorophore
BS,1,live,0,,15:21,965.7,809.6,23.1,UT,2013,PEEC2013,AMC
BS,1,live,5,,15:22,64971,809.6,23.1,UT,2013,PEEC2013,AMC
BS,1,live,10,,15:23,82265,809.6,23.1,UT,2013,PEEC2013,AMC
BS,1,live,25,,15:24,89041,809.6,23.1,UT,2013,PEEC2013,AMC
BS,1,live,40,1,15:25,166275,809.6,23.1,UT,2013,PEEC2013,AMC
BS,1,live,40,2,15:25,120759,809.6,23.1,UT,2013,PEEC2013,AMC
BS,1,live,40,3,15:25,119187,809.6,23.1,UT,2013,PEEC2013,AMC
BS,1,killed,0,,15:26,651,812.2,23.1,UT,2013,PEEC2013,AMC
BS,1,killed,5,,15:27,877.3,812.2,23.1,UT,2013,PEEC2013,AMC
BS,1,killed,10,,15:27,1171,812.2,23.1,UT,2013,PEEC2013,AMC
BS,1,killed,15,,15:28,1492,812.2,23.1,UT,2013,PEEC2013,AMC
BS,1,killed,20,,15:28,1821,812.2,23.1,UT,2013,PEEC2013,AMC
BS,1,killed,25,,15:28,2082,812.2,23.1,UT,2013,PEEC2013,AMC
BS,1,killed,30,,15:28,2425,812.2,23.1,UT,2013,PEEC2013,AMC
BS,1,killed,40,1,15:29,2936,812.2,23.1,UT,2013,PEEC2013,AMC
BS,1,killed,40,2,15:29,3033,812.2,23.1,UT,2013,PEEC2013,AMC
BS,1,killed,40,3,15:29,3006,812.2,23.1,UT,2013,PEEC2013,AMC
BS,2,live,0,,15:30,758.9,813.1,23.1,UT,2013,PEEC2013,AMC
BS,2,live,5,,15:30,6789,813.1,23.1,UT,2013,PEEC2013,AMC
BS,2,live,10,,15:31,9901,813.1,23.1,UT,2013,PEEC2013,AMC
BS,2,live,15,,15:31,12134,813.1,23.1,UT,2013,PEEC2013,AMC
BS,2,live,25,,15:32,15507,813.1,23.1,UT,2013,PEEC2013,AMC
BS,2,live,30,,15:32,20038,813.1,23.1,UT,2013,PEEC2013,AMC
BS,2,live,40,1,15:32,22835,813.1,23.1,UT,2013,PEEC2013,AMC
BS,2,live,40,2,15:32,20800,813.1,23.1,UT,2013,PEEC2013,AMC
BS,2,live,40,3,15:33,21719,813.1,23.1,UT,2013,PEEC2013,AMC
BS,2,killed,0,,15:33,656.4,814,23.1,UT,2013,PEEC2013,AMC
BS,2,killed,5,,15:34,1155,814,23.1,UT,2013,PEEC2013,AMC
BS,2,killed,10,,15:34,1675,814,23.1,UT,2013,PEEC2013,AMC
BS,2,killed,15,,15:35,2182,814,23.1,UT,2013,PEEC2013,AMC
BS,2,killed,20,,15:35,3077,814,23.1,UT,2013,PEEC2013,AMC
BS,2,killed,25,,15:35,3071,814,23.1,UT,2013,PEEC2013,AMC
BS,2,killed,30,,15:36,3470,814,23.1,UT,2013,PEEC2013,AMC
BS,2,killed,40,1,15:36,4736,814,23.1,UT,2013,PEEC2013,AMC
BS,2,killed,40,2,15:36,4819,814,23.1,UT,2013,PEEC2013,AMC
BS,2,killed,40,3,15:37,4657,814,23.1,UT,2013,PEEC2013,AMC
BS,3,live,0,,15:37,753.2,812.3,23.1,UT,2013,PEEC2013,AMC
BS,3,live,5,,15:38,84723,812.3,23.1,UT,2013,PEEC2013,AMC
BS,3,live,10,,15:38,100719,812.3,23.1,UT,2013,PEEC2013,AMC
BS,3,live,15,,15:38,112799,812.3,23.1,UT,2013,PEEC2013,AMC
BS,3,live,40,1,15:40,105645,812.3,23.1,UT,2013,PEEC2013,AMC
BS,3,live,40,2,15:40,90005,812.3,23.1,UT,2013,PEEC2013,AMC
BS,3,killed,0,,15:41,650.7,816.1,23.1,UT,2013,PEEC2013,AMC
BS,3,killed,5,,15:41,995.3,816.1,23.1,UT,2013,PEEC2013,AMC
BS,3,killed,10,,15:41,1208,816.1,23.1,UT,2013,PEEC2013,AMC
BS,3,killed,15,,15:42,1385,816.1,23.1,UT,2013,PEEC2013,AMC
BS,3,killed,20,,15:42,1679,816.1,23.1,UT,2013,PEEC2013,AMC
BS,3,killed,25,,15:42,2075,816.1,23.1,UT,2013,PEEC2013,AMC
BS,3,killed,30,,15:42,2258,816.1,23.1,UT,2013,PEEC2013,AMC
BS,3,killed,40,1,15:43,2675,816.1,23.1,UT,2013,PEEC2013,AMC
BS,3,killed,40,2,15:43,2690,816.1,23.1,UT,2013,PEEC2013,AMC
BS,3,killed,40,3,15:43,2828,816.1,23.1,UT,2013,PEEC2013,AMC
BS,4,live,0,,15:44,757,785.4,23.1,UT,2013,PEEC2013,AMC
BS,4,live,5,,15:44,2087,785.4,23.1,UT,2013,PEEC2013,AMC
BS,4,live,10,,15:45,3154,785.4,23.1,UT,2013,PEEC2013,AMC
BS,4,live,20,,15:45,3161,785.4,23.1,UT,2013,PEEC2013,AMC
BS,4,live,25,,15:46,3238,785.4,23.1,UT,2013,PEEC2013,AMC
BS,4,live,30,,15:46,3743,785.4,23.1,UT,2013,PEEC2013,AMC
BS,4,live,40,1,15:46,5303,785.4,23.1,UT,2013,PEEC2013,AMC
BS,4,live,40,2,15:46,5146,785.4,23.1,UT,2013,PEEC2013,AMC
BS,4,live,40,3,15:47,5105,785.4,23.1,UT,2013,PEEC2013,AMC
BS,4,killed,0,,15:47,674.4,618.4,23.1,UT,2013,PEEC2013,AMC
BS,4,killed,5,,15:48,657.5,618.4,23.1,UT,2013,PEEC2013,AMC
BS,4,killed,10,,15:48,2452,618.4,23.1,UT,2013,PEEC2013,AMC
BS,4,killed,15,,15:48,2229,618.4,23.1,UT,2013,PEEC2013,AMC
BS,4,killed,20,,15:48,2904,618.4,23.1,UT,2013,PEEC2013,AMC
BS,4,killed,25,,15:48,3211,618.4,23.1,UT,2013,PEEC2013,AMC
BS,4,killed,40,1,15:49,5818,618.4,23.1,UT,2013,PEEC2013,AMC
BS,4,killed,40,2,15:49,5071,618.4,23.1,UT,2013,PEEC2013,AMC
BS,4,killed,40,3,15:49,4545,618.4,23.1,UT,2013,PEEC2013,AMC
BS,5,live,15,,15:50,29707,809,23.1,UT,2013,PEEC2013,AMC
BS,5,live,20,,15:51,26907,809,23.1,UT,2013,PEEC2013,AMC
BS,5,live,25,,15:51,38565,809,23.1,UT,2013,PEEC2013,AMC
BS,5,killed,0,,15:52,734.2,800.5,23.1,UT,2013,PEEC2013,AMC
BS,5,killed,5,,15:52,2124,800.5,23.1,UT,2013,PEEC2013,AMC
BS,5,killed,15,,15:53,2307,800.5,23.1,UT,2013,PEEC2013,AMC
BS,5,killed,20,,15:53,4259,800.5,23.1,UT,2013,PEEC2013,AMC
BS,5,killed,25,,15:54,3400,800.5,23.1,UT,2013,PEEC2013,AMC
BS,5,killed,30,,15:54,4039,800.5,23.1,UT,2013,PEEC2013,AMC
BS,5,killed,40,1,15:54,6003,800.5,23.1,UT,2013,PEEC2013,AMC
BS,5,killed,40,2,15:54,5193,800.5,23.1,UT,2013,PEEC2013,AMC
BS,5,killed,40,3,15:54,4989,800.5,23.1,UT,2013,PEEC2013,AMC
BS,1,live,0,,16:02,717.5,813.6,23.1,UT,2013,PEEC2013,AMC
BS,1,live,5,,16:03,107168,813.6,23.1,UT,2013,PEEC2013,AMC
BS,1,live,10,,16:04,132190,813.6,23.1,UT,2013,PEEC2013,AMC
BS,1,live,15,,16:04,191496,813.6,23.1,UT,2013,PEEC2013,AMC
BS,1,live,25,,16:05,144358,813.6,23.1,UT,2013,PEEC2013,AMC
BS,1,live,30,,16:05,128657,813.6,23.1,UT,2013,PEEC2013,AMC
BS,1,live,40,2,16:06,186954,813.6,23.1,UT,2013,PEEC2013,AMC
BS,1,live,40,3,16:06,187124,813.6,23.1,UT,2013,PEEC2013,AMC
BS,1,killed,0,,16:06,653.3,630.2,23.1,UT,2013,PEEC2013,AMC
BS,1,killed,5,,16:06,967.7,630.2,23.1,UT,2013,PEEC2013,AMC
BS,1,killed,10,,16:07,1304,630.2,23.1,UT,2013,PEEC2013,AMC
BS,1,killed,15,,16:07,1504,630.2,23.1,UT,2013,PEEC2013,AMC
BS,1,killed,20,,16:08,1854,630.2,23.1,UT,2013,PEEC2013,AMC
BS,1,killed,25,,16:08,2083,630.2,23.1,UT,2013,PEEC2013,AMC
BS,1,killed,30,,16:08,2426,630.2,23.1,UT,2013,PEEC2013,AMC
BS,1,killed,40,1,16:08,2976,630.2,23.1,UT,2013,PEEC2013,AMC
BS,1,killed,40,2,16:09,3090,630.2,23.1,UT,2013,PEEC2013,AMC
BS,1,killed,40,3,16:09,3025,630.2,23.1,UT,2013,PEEC2013,AMC
BS,2,live,0,,16:09,715.4,812.2,23.1,UT,2013,PEEC2013,AMC
BS,2,live,5,,16:10,9479,812.2,23.1,UT,2013,PEEC2013,AMC
BS,2,live,10,,16:10,14325,812.2,23.1,UT,2013,PEEC2013,AMC
BS,2,live,15,,16:10,18293,812.2,23.1,UT,2013,PEEC2013,AMC
BS,2,live,20,,16:11,36543,812.2,23.1,UT,2013,PEEC2013,AMC
BS,2,live,25,,16:11,21816,812.2,23.1,UT,2013,PEEC2013,AMC
BS,2,live,30,,16:11,27658,812.2,23.1,UT,2013,PEEC2013,AMC
BS,2,live,40,1,16:11,31150,812.2,23.1,UT,2013,PEEC2013,AMC
BS,2,live,40,2,16:11,13210,812.2,23.1,UT,2013,PEEC2013,AMC
BS,2,live,40,3,16:12,29169,812.2,23.1,UT,2013,PEEC2013,AMC
BS,2,killed,0,,16:12,655.4,811.6,23.1,UT,2013,PEEC2013,AMC
BS,2,killed,5,,16:12,1162,811.6,23.1,UT,2013,PEEC2013,AMC
BS,2,killed,10,,16:13,1702,811.6,23.1,UT,2013,PEEC2013,AMC
BS,2,killed,15,,16:13,2191,811.6,23.1,UT,2013,PEEC2013,AMC
BS,2,killed,20,,16:13,3076,811.6,23.1,UT,2013,PEEC2013,AMC
BS,2,killed,25,,16:13,3047,811.6,23.1,UT,2013,PEEC2013,AMC
BS,2,killed,30,,16:13,3493,811.6,23.1,UT,2013,PEEC2013,AMC
BS,2,killed,40,1,16:14,4794,811.6,23.1,UT,2013,PEEC2013,AMC
BS,2,killed,40,2,16:14,4807,811.6,23.1,UT,2013,PEEC2013,AMC
BS,2,killed,40,3,16:14,4684,811.6,23.1,UT,2013,PEEC2013,AMC
BS,3,live,0,,16:14,728.7,336.7,23.1,UT,2013,PEEC2013,AMC
BS,3,live,5,,16:15,134382,336.7,23.1,UT,2013,PEEC2013,AMC
BS,3,live,10,,16:15,159942,336.7,23.1,UT,2013,PEEC2013,AMC
BS,3,live,15,,16:15,176113,336.7,23.1,UT,2013,PEEC2013,AMC
BS,3,live,25,,16:16,124052,336.7,23.1,UT,2013,PEEC2013,AMC
BS,3,live,30,,16:16,121015,336.7,23.1,UT,2013,PEEC2013,AMC
BS,3,live,40,1,16:16,176988,336.7,23.1,UT,2013,PEEC2013,AMC
BS,3,live,40,2,16:17,146166,336.7,23.1,UT,2013,PEEC2013,AMC
BS,3,killed,0,,16:17,652.9,720.5,23.1,UT,2013,PEEC2013,AMC
BS,3,killed,5,,16:18,996.1,720.5,23.1,UT,2013,PEEC2013,AMC
BS,3,killed,10,,16:18,1239,720.5,23.1,UT,2013,PEEC2013,AMC
BS,3,killed,15,,16:18,1390,720.5,23.1,UT,2013,PEEC2013,AMC
BS,3,killed,20,,16:18,1683,720.5,23.1,UT,2013,PEEC2013,AMC
BS,3,killed,25,,16:19,2153,720.5,23.1,UT,2013,PEEC2013,AMC
BS,3,killed,30,,16:19,2322,720.5,23.1,UT,2013,PEEC2013,AMC
BS,3,killed,40,1,16:19,2712,720.5,23.1,UT,2013,PEEC2013,AMC
BS,3,killed,40,2,16:19,3765,720.5,23.1,UT,2013,PEEC2013,AMC
BS,3,killed,40,3,16:19,2843,720.5,23.1,UT,2013,PEEC2013,AMC
BS,4,live,0,,16:19,742.6,724.3,23.1,UT,2013,PEEC2013,AMC
BS,4,live,5,,16:20,2046,724.3,23.1,UT,2013,PEEC2013,AMC
BS,4,live,10,,16:20,3259,724.3,23.1,UT,2013,PEEC2013,AMC
BS,4,live,15,,16:21,2360,724.3,23.1,UT,2013,PEEC2013,AMC
BS,4,live,20,,16:21,3257,724.3,23.1,UT,2013,PEEC2013,AMC
BS,4,live,25,,16:21,3361,724.3,23.1,UT,2013,PEEC2013,AMC
BS,4,live,30,,16:22,3789,724.3,23.1,UT,2013,PEEC2013,AMC
BS,4,live,40,1,16:22,5424,724.3,23.1,UT,2013,PEEC2013,AMC
BS,4,live,40,2,16:22,5168,724.3,23.1,UT,2013,PEEC2013,AMC
BS,4,live,40,3,16:22,5052,724.3,23.1,UT,2013,PEEC2013,AMC
BS,4,killed,0,,16:22,675.6,618.4,23.1,UT,2013,PEEC2013,AMC
BS,4,killed,10,,16:23,2435,618.4,23.1,UT,2013,PEEC2013,AMC
BS,4,killed,20,,16:23,2927,618.4,23.1,UT,2013,PEEC2013,AMC
BS,4,killed,25,,16:23,3252,618.4,23.1,UT,2013,PEEC2013,AMC
BS,4,killed,40,1,16:24,3890,618.4,23.1,UT,2013,PEEC2013,AMC
