substrate,replicate,treatment,slope,int,slope.se,int.se,pval,rsq,n,calib.slope,calib.se,location,year
Arg-AMC,1,live,3085.359106,3824.445554,1020.669578,1670.301847,0.029319541,0.646337896,7,9.247153815,3.059056744,AC,2015
Arg-AMC,2,live,3006.687884,3902.924495,1038.156191,1700.189092,0.033941383,0.626527384,7,9.011367684,3.111466008,AC,2015
Arg-AMC,3,live,2884.731189,3841.330765,911.7062148,1497.050988,0.024979785,0.666922905,7,8.645850322,2.7324818,AC,2015
Arg-AMC,kill,killed,-338.6300303,5477.046826,205.1515795,337.5465202,0.159725316,0.352716482,7,-1.014910702,0.614861397,AC,2015
Gly-AMC,1,live,1885.0353,4499.953606,1168.932019,1906.612629,0.167746956,0.342150412,7,5.649653983,3.503415262,AC,2015
Gly-AMC,2,live,1847.838522,4707.441184,1150.668958,1881.730922,0.169208142,0.3402699,7,5.53817123,3.4486789,AC,2015
Gly-AMC,3,live,1823.080423,4586.841538,1065.436525,1744.81448,0.147745271,0.369316096,7,5.463968538,3.193228109,AC,2015
Gly-AMC,kill,killed,-373.9815579,5942.146927,334.5546256,551.0608508,0.314444548,0.199947058,7,-1.120863041,1.002696275,AC,2015
Leu-AMC,1,live,26.54532775,5956.985449,779.5996921,1284.660326,0.974154818,0.000231826,7,0.079559209,2.336544311,AC,2015
Leu-AMC,2,live,150.7906695,5862.165707,844.4329381,1395.708709,0.865285061,0.006337058,7,0.45193589,2.530856538,AC,2015
Leu-AMC,3,live,105.8633747,5904.890715,848.7894774,1402.909352,0.905602307,0.003101505,7,0.317283945,2.543913556,AC,2015
Leu-AMC,kill,killed,-10.63838464,5228.82281,188.6316855,311.7771398,0.957209363,0.000635735,7,-0.031884385,0.565349494,AC,2015
Pyr-AMC,1,live,441.6090674,6119.445161,988.5615065,1622.258104,0.673762395,0.038379752,7,1.323549976,2.962825393,AC,2015
Pyr-AMC,2,live,284.0345693,6261.211215,1098.560354,1806.815999,0.806287132,0.013193396,7,0.85128222,3.292503797,AC,2015
Pyr-AMC,3,live,134.1566774,6514.695859,1044.159087,1721.417945,0.902774783,0.003290711,7,0.402082023,3.129457334,AC,2015
Pyr-AMC,kill,killed,-115.1850122,5372.699945,175.8644579,290.9640964,0.541420071,0.079016474,7,-0.345221898,0.527084737,AC,2015
GlyGlyArg-AMC,1,live,1624.870972,5054.266046,1092.100218,1800.244178,0.196954755,0.306871485,7,4.86991345,3.273142072,AC,2015
GlyGlyArg-AMC,2,live,1619.377897,5122.256562,1205.507469,1991.984462,0.236914093,0.265192025,7,4.85345011,3.613035828,AC,2015
GlyGlyArg-AMC,3,live,1524.72437,5192.605602,1146.461467,1895.063556,0.24097553,0.261309975,7,4.569763289,3.436068596,AC,2015
GlyGlyArg-AMC,kill,killed,-160.0922923,5261.884961,239.5318243,395.9383231,0.533517023,0.082012693,7,-0.479813857,0.717902697,AC,2015
Arg-AMC,1,live,11549.55777,84906.89482,4769.006825,3927.157998,0.094017648,0.661594034,5,7.229562515,2.985208062,AC,2015
Arg-AMC,2,live,18767.4258,81807.62471,115.5616211,95.46956712,5.15E-07,0.999886266,5,11.74766002,0.072336966,AC,2015
Arg-AMC,3,live,12543.52958,83376.21165,3676.987222,3042.631324,0.04210865,0.795045311,5,7.851749224,2.301647345,AC,2015
